建物名,駅からの距離,家賃,間取り,面積
プラティーク品川大井町,ＪＲ京浜東北線/大井町駅 歩9分,8.3,ワンルーム,18.01
東急大井町線 下神明駅 4階建 築8年,東急大井町線/下神明駅 歩7分,8.9,1K,20.56
クレドール戸越,東急大井町線/下神明駅 歩3分,8.3,1K,24.64
グラヴィエ大井町,ＪＲ京浜東北線/大井町駅 歩5分,8.2,1K,20.88
Ｇｌａｎｚ東大井ＷＥＳＴ,ＪＲ京浜東北線/大井町駅 歩10分,7.7,1K,16.65
NTPRレジデンス大井町,東急大井町線/下神明駅 歩8分,8.9,1K,20.56
ORSUS OIMACHI,ＪＲ京浜東北線/大井町駅 歩5分,10.0,1K,20.88
エステムプラザ品川サウスヒルズ,ＪＲ京浜東北線/大井町駅 歩4分,8.7,1K,21.77
ＪＲ京浜東北線 大井町駅 地下1地上13階建 築6年,ＪＲ京浜東北線/大井町駅 歩5分,10.0,1K,20.88
ＪＲ京浜東北線 大井町駅 7階建 築4年,ＪＲ京浜東北線/大井町駅 歩13分,8.8,1K,22.73
ＪＲ京浜東北線 大井町駅 5階建 築8年,ＪＲ京浜東北線/大井町駅 歩15分,8.2,ワンルーム,19.68
East322,ＪＲ京浜東北線/大井町駅 歩12分,6.8,ワンルーム,18.29
Stella　SENDAIZAKA（ステラ仙台坂）,ＪＲ京浜東北線/大井町駅 歩8分,9.5,ワンルーム,22.73
スカイ大井町,東急大井町線/下神明駅 歩3分,7.1,ワンルーム,14.49
ＪＲ京浜東北線 大井町駅 7階建 築1年,ＪＲ京浜東北線/大井町駅 歩9分,10.8,ワンルーム,20.77
ＪＲ京浜東北線 大井町駅 15階建 築8年,ＪＲ京浜東北線/大井町駅 歩4分,11.5,1K,20.01
カスタリア大井町,東急大井町線/大井町駅 歩5分,10.8,1K,21.75
METTA大崎,東急大井町線/下神明駅 歩8分,7.35,ワンルーム,9.06
クレイシア大井町,ＪＲ京浜東北線/大井町駅 歩6分,9.8,1K,21.59
ＪＲ京浜東北線 大井町駅 11階建 築7年,ＪＲ京浜東北線/大井町駅 歩6分,9.85,1K,21.59
LEGALAND大井町,ＪＲ京浜東北線/大井町駅 歩7分,12.5,1K,21.6
ＪＲ京浜東北線 大井町駅 3階建 築6年,ＪＲ京浜東北線/大井町駅 歩8分,7.3,ワンルーム,14.49
クランテラス品川,ＪＲ京浜東北線/大井町駅 歩9分,8.0,ワンルーム,9.0
ＪＲ京浜東北線 大井町駅 地下1地上13階建 築13年,ＪＲ京浜東北線/大井町駅 歩5分,9.4,1K,20.24
ＪＲ京浜東北線 大井町駅 14階建 築3年,ＪＲ京浜東北線/大井町駅 歩4分,10.9,ワンルーム,19.59
リージア大井町,ＪＲ京浜東北線/大井町駅 歩4分,10.9,ワンルーム,19.59
パークキューブ大井町レジデンス,ＪＲ京浜東北線/大井町駅 歩4分,11.5,1K,20.01
レオネクストＳｅｎｓｕｉIV,東急大井町線/大井町駅 歩8分,10.3,1K,22.04
2W　HOUSE,ＪＲ京浜東北線/大井町駅 歩11分,8.4,1K,22.5
ＪＲ京浜東北線 大井町駅 4階建 築6年,ＪＲ京浜東北線/大井町駅 歩14分,9.7,ワンルーム,24.43
ザ　コンラスト　オオイマチ,ＪＲ京浜東北線/大井町駅 歩14分,9.7,ワンルーム,24.43
ＧＬＯＩＲＥ東品川,りんかい線/天王洲アイル駅 歩9分,10.2,1K,24.28
ＪＲ京浜東北線 大井町駅 4階建 築2年,ＪＲ京浜東北線/大井町駅 歩12分,8.1,ワンルーム,16.8
ＣＯＣＯＦＬＡＴ大井町,東急大井町線/下神明駅 歩3分,8.1,ワンルーム,16.8
ザ　コンラスト大井町,東急大井町線/下神明駅 歩5分,9.7,ワンルーム,24.43
ＪＲ京浜東北線 大井町駅 12階建 築4年,ＪＲ京浜東北線/大井町駅 歩15分,9.0,1K,20.54
ＪＲ京浜東北線 大井町駅 3階建 築3年,ＪＲ京浜東北線/大井町駅 歩8分,7.5,1K,15.92
東急大井町線 下神明駅 2階建 築13年,東急大井町線/下神明駅 歩3分,8.9,1K,21.53
ガーラ・ヒルズ品川下神明,東急大井町線/下神明駅 歩4分,9.2,1K,21.75
プレミアムヒルズ戸越公園,東急大井町線/戸越公園駅 歩8分,8.2,ワンルーム,19.68
ＪＲ京浜東北線 大井町駅 11階建 築14年,ＪＲ京浜東北線/大井町駅 歩2分,10.0,1K,20.0
クレヴィスタ大井町,ＪＲ京浜東北線/大井町駅 歩9分,10.8,1K,20.3
ＪＲ京浜東北線 大井町駅 2階建 築9年,ＪＲ京浜東北線/大井町駅 歩5分,7.2,ワンルーム,16.83
インベスト大井町１７,ＪＲ京浜東北線/大井町駅 歩5分,7.2,ワンルーム,16.83
サンハイム,ＪＲ京浜東北線/大井町駅 歩6分,6.9,ワンルーム,15.12
アヴァンタージュ大井町,ＪＲ京浜東北線/大井町駅 歩4分,9.0,ワンルーム,22.4
ＪＲ京浜東北線 大井町駅 4階建 築6年,ＪＲ京浜東北線/大井町駅 歩5分,8.1,ワンルーム,14.4
ＪＲ京浜東北線 大井町駅 5階建 新築,ＪＲ京浜東北線/大井町駅 歩12分,9.9,ワンルーム,20.63
プラティーク品川大井町,ＪＲ京浜東北線/大井町駅 歩9分,8.3,ワンルーム,18.01
東急大井町線 下神明駅 3階建 築4年,東急大井町線/下神明駅 歩7分,8.4,1K,19.83
ＪＲ京浜東北線 大井町駅 4階建 築5年,ＪＲ京浜東北線/大井町駅 歩4分,9.0,ワンルーム,22.33
ルミエール豊町,東急大井町線/下神明駅 歩3分,7.7,ワンルーム,17.34
QUINTET,ＪＲ京浜東北線/大井町駅 歩4分,10.7,1K,24.92
